companyName,cik,symbol,targetedCompanyName,targetedCik,targetedSymbol,transactionDate,acceptanceTime,url
ROC ENERGY ACQUISITION CORP.,0001884516,ROCAR,DRILLING TOOLS INTERNATIONAL CORP.,0001884516,DTI,2024-05-10,2024-05-10 16:04:09,https://www.sec.gov/Archives/edgar/data/1884516/000119312524136139/d795714ds4.htm
ROC ENERGY ACQUISITION CORP.,0001884516,ROC,DRILLING TOOLS INTERNATIONAL CORP.,0001884516,DTI,2024-05-10,2024-05-10 16:04:09,https://www.sec.gov/Archives/edgar/data/1884516/000119312524136139/d795714ds4.htm
ROC ENERGY ACQUISITION CORP.,0001884516,ROCAU,DRILLING TOOLS INTERNATIONAL CORP.,0001884516,DTI,2024-05-10,2024-05-10 16:04:09,https://www.sec.gov/Archives/edgar/data/1884516/000119312524136139/d795714ds4.htm
SILEXION THERAPEUTICS CORP,0002022416,SLXNW,MORINGA ACQUISITION CORP,0001835416,MACAU,2024-05-09,2024-05-09 17:18:29,https://www.sec.gov/Archives/edgar/data/2022416/000121390024041383/ea0205334-01.htm
SILEXION THERAPEUTICS CORP,0002022416,SLXN,MORINGA ACQUISITION CORP,0001835416,MACAU,2024-05-09,2024-05-09 17:18:29,https://www.sec.gov/Archives/edgar/data/2022416/000121390024041383/ea0205334-01.htm
ASSURE HOLDINGS CORP.,0001798270,IONM,DANAM,,,2024-05-02,2024-05-02 19:41:37,https://www.sec.gov/Archives/edgar/data/1798270/000110465924056553/ionm-20231231xs4.htm
"SOUTHERN STATES BANCSHARES, INC.",0001689731,SSBK,CINCINNATI BELL INC.,0000716133,CBB,2024-05-02,2024-05-02 17:01:23,https://www.sec.gov/Archives/edgar/data/1689731/000162828024020059/southernstatesbanks-4.htm
DRIL-QUIP INC,0001042893,DRQ,INNOVEX,,,2024-05-01,2024-05-01 17:14:20,https://www.sec.gov/Archives/edgar/data/1042893/000119312524127628/d773596ds4.htm
FIRST ADVANTAGE CORP,0001210677,FA,STERLING CHECK CORP.,0001645070,STER,2024-04-29,2024-04-29 17:07:38,https://www.sec.gov/Archives/edgar/data/1210677/000119312524122741/d827170ds4.htm
SCHLUMBERGER LIMITED/NV,0000087347,SLB,CHAMPIONX CORPORATION,0001723089,CHX,2024-04-29,2024-04-29 09:17:41,https://www.sec.gov/Archives/edgar/data/87347/000119312524120388/d818663ds4.htm
CAPITAL ONE FINANCIAL CORP,0000927628,COF-PJ,CAPITAL ONE FINANCIAL CORPORATION,0000927628,COF,2024-04-18,2024-04-18 21:52:32,https://www.sec.gov/Archives/edgar/data/927628/000119312524101304/d743340ds4.htm
CAPITAL ONE FINANCIAL CORP,0000927628,COF-PI,CAPITAL ONE FINANCIAL CORPORATION,0000927628,COF,2024-04-18,2024-04-18 21:52:32,https://www.sec.gov/Archives/edgar/data/927628/000119312524101304/d743340ds4.htm
CAPITAL ONE FINANCIAL CORP,0000927628,COF,DISCOVER FINANCIAL SERVICES,0001393612,DFS,2024-04-18,2024-04-18 21:52:32,https://www.sec.gov/Archives/edgar/data/927628/000119312524101304/d743340ds4.htm
