Acquisitions ID,Child,Parent,Year Acquired,Deal Date,Price,Status,Terms,Acquisition Profile,News,News Link,Location,City,symbol,Industry
Adobe Systems acquired Accelio Corporation in 2002,Accelio Corporation,Adobe,2002,15/04/2002,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/ba5294eac364fc4b06b4bd0a471d83fd,Adobe Systems acquired Accelio Corporation,http://www.alacrastore.com/storecontent/Thomson_M&A/Adobe_Systems_Inc_acquires_Accelio_Corp_from_Adobe_Systems_Canada_Inc-1267643040,USA,Unknown,ADBE,Software
Adobe Systems acquired Aldus Corp in 1994,Aldus Corp,Adobe,1994,31/08/1994,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/e9ddca8631f69cbbbc0bb272a44148f9,Adobe Systems acquired Aldus Corp,http://www.alacrastore.com/storecontent/Thomson_M&A/Adobe_Systems_Inc_acquires_Aldus_Corp-395638020,USA,Unknown,ADBE,Software
Adobe Systems acquired Amicima in 2006,Amicima,Adobe,2006,28/06/1905,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/97db67f9a71362f26ce5842229f91526,,,USA,Unknown,ADBE,Software
Adobe Systems acquired Ares Software in 1996,Ares Software,Adobe,1996,20/05/1996,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/8b9cc8cc5f35bfd6507ec82957095d34,ADOBE SYSTEMS ACQUIRES ARES SOFTWARE - Free Online Library,http://www.thefreelibrary.com/ADOBE+SYSTEMS+ACQUIRES+ARES+SOFTWARE-a018302704,USA,Unknown,ADBE,Software
Adobe Systems acquired Auditude in 2011,Auditude,Adobe,2011,1/11/2011,"$120,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/c6622ec65a46106f18ad301cc594fe34,Adobe acquires video ad platform Auditude for $120M (updated),http://venturebeat.com/2011/11/01/adobe-buys-auditude/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Venturebeat_deals+%28VentureBeat+%C2%BB+Deals+%26+More%29,USA,Unknown,ADBE,Software
Adobe Systems acquired Behance in 2012,Behance,Adobe,2012,20/12/2012,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/1a4ad048fe3806bae34d5eba6256cc20,"Adobe acquires Behance to bring more community into Creative Cloud, Adobe Acquired Portfolio Service Behance For More Than $150 Million In Cash And Stock | TechCrunch","http://venturebeat.com/2012/12/20/adobe-acquires-behance/, http://techcrunch.com/2012/12/21/adobe-acquired-portfolio-service-behance-for-more-than-150-million-in-cash-and-stock/",USA,Unknown,ADBE,Software
Adobe Systems acquired BluePoint Technologies in 1990,BluePoint Technologies,Adobe,1990,20/06/1990,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/7274c77379ca4fdc16abc7b336af84b2,Adobe Systems acquired BluePoint Technologies,http://www.alacrastore.com/storecontent/Thomson_M&A/Adobe_Systems_Inc_acquires_BluePoint_Technologies-167911020,USA,Unknown,ADBE,Software
Adobe Systems acquired Day Software in 2010,Day Software,Adobe,2010,28/07/2010,"$240,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/0da007d763a01a8fd26cd13658ca9ca4,Adobe Buys Swiss Company Day Software For $240 Million | TechCrunch,http://techcrunch.com/2010/07/27/adobe-buys-day-software-240-million/,USA,Unknown,ADBE,Software
Adobe Systems acquired Demdex in 2011,Demdex,Adobe,2011,18/01/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/759d442bdb191ecccf0210344a85dbba,Adobe beefs up its ad targeting by acquiring Demdex,http://venturebeat.com/2011/01/18/adobe-demdex-acquisition/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Venturebeat_deals+%28VentureBeat+%C2%BB+Deals+%26+More%29,USA,Unknown,ADBE,Software
Adobe Systems acquired DigiDox in 1997,DigiDox,Adobe,1997,16/09/1997,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/2072fa7326f3b7d17bb8ecfb5bfe8af7,Adobe Systems acquired DigiDox,http://www.alacrastore.com/storecontent/Thomson_M&A/Adobe_Systems_Inc_acquires_DigiDox_Inc-695591020,USA,Unknown,ADBE,Software
