symbol,name
MKTW,"MarketWise, Inc. Class A Common Stock"
PIXY,"ShiftPixy, Inc. Common Stock"
FLGC,Flora Growth Corp. Common Stock
KLXE,"KLX Energy Services Holdings, Inc. Common Stock"
AMLX,"Amylyx Pharmaceuticals, Inc. Common Stock"
JFBRW,Jeffs' Brands Ltd Warrant
CLLS,Cellectis S.A. American Depositary Shares
ACST,"Acasti Pharma, Inc."
KALA,"KALA BIO, Inc. Common Stock"
SOHO,Sotherly Hotels Inc. Common Stock
IBG,Innovation Beverage Group Limited Ordinary Shares
WAI,Top King Win Ltd
VTVT,vTv Therapeutics Inc. Class A Common Stock
GOVX,"GeoVax Labs, Inc. Common Stock"
ESI,Element Solutions Inc.
AGRI,AgriFORCE Growing Systems Ltd. Common Shares
BFRIW,Biofrontera Inc. Warrants
ALVOW,Alvotech Warrant
BCTXW,BriaCell Therapeutics Corp. Warrant
BTMWW,Bitcoin Depot Inc. Warrant
GCMGW,GCM Grosvenor Inc.
JG,Aurora Mobile Limited American Depositary Shares
ROCLW,Roth CH Acquisition V Co. Warrant
EFOI,"Energy Focus, Inc. Common Stock"
FLNT,"Fluent, Inc. Common Stock"
EVO,Evotec SE American Depositary Shares
IVCPW,Swiftmerge Acquisition Corp. Warrants
PIII,P3 Health Partners Inc. Class A Common Stock
BLTE,"Belite Bio, Inc American Depositary Shares"
RDI,Reading International Inc Class A Common Stock
DJTWW,Trump Media & Technology Group Corp. Warrants
LGVN,Longeveron Inc. Class A Common Stock
BHB,"Bar Harbor Bankshares, Inc."
GAUZ,Gauzy Ltd. Ordinary Shares
FPAY,"FlexShopper, Inc."
PTCT,"PTC Therapeutics, Inc."
CKPT,"Checkpoint Therapeutics, Inc. Common Stock"
ASYS,"Amtech Systems, Inc."
PGC,Peapack-Gladstone Financial Corporation Common Stock
SPKLW,Spark I Acquisition Corp. Warrant
NBHC,National Bank Holdings Corporation Common Stock.
GLYC,"GlycoMimetics, Inc. Common Stock"
QETAR,Quetta Acquisition Corporation Right.
ATEX,Anterix Inc. Common Stock
MBIO,"Mustang Bio, Inc. Common Stock"
VEEAW,Veea Inc. Warrant
FUFUW,BitFuFu Inc.
ALFUW,Centurion Acquisition Corp. Warrant
HAFC,Hanmi Financial Corporation Common Stock
PTIX,"Protagenic Therapeutics, Inc. Common Stock"
CELU,Celularity Inc. A class
NTRS,Northern Trust Corporation Common Stock
CFFN,"Capitol Federal Financial, Inc. Common Stock"
HOFVW,Hall of Fame Resort & Entertainment Company
TVGNW,Tevogen Bio Holdings Inc. Warrant
FLXS,"Flexsteel Industries, Inc."
LUCYW,"Innovative Eyewear, Inc. Series A Warrants"
DQ,"DAQO New Energy Corp. American Depositary Shares, each representing five ordinary shares"
SNTG,Sentage Holdings Inc. Class A Ordinary Shares
NXPLW,NextPlat Corp Warrants
PPBT,Purple Biotech Ltd. American Depositary Shares
NVNIW,Nvni Group Limited Warrants
FSHPR,Flag Ship Acquisition Corp. Right
AZ,A2Z Cust2Mate Solutions Corp. Common Shares
EUDAW,EUDA Health Holdings Limited Warrant
TISI,"Team, Inc. Common Stock"
SBCWW,SBC Medical Group Holdings Incorporated Warrants
NITO,"N2OFF, Inc. Common Stock"
QRTEB,"Qurate Retail, Inc. Series B Common Stock"
TELA,"TELA Bio, Inc. Common Stock"
ZNTL,"Zentalis Pharmaceuticals, Inc. Common Stock"
SVMH,SRIVARU HOLDING LIMITED ORDINARY SHARES
AERT,"Aeries Technology, Inc. Class A Ordinary Share"
SRZN,"Surrozen, Inc. Common Stock"
PGHL,Primega Group Holdings Limited Ordinary Shares
DUOT,"Duos Technologies Group, Inc. Common Stock"
CAPR,"Capricor Therapeutics, Inc. Common Stock"
JBDI,JBDI Holdings Limited Ordinary Shares
KITTW,"Nauticus Robotics, Inc."
MAMO,Massimo Group Common Stock
USNA,"USANA Health Sciences, Inc. Common Stock"
OWLT,"Owlet, Inc. Class A Common Stock"
SCNI,Scinai Immunotherapeutics Ltd. American Depositary Shares
TVGN,Tevogen Bio Holdings Inc. Common Stock
KWESW,KWESST Micro Systems Inc. Warrant
VRAX,Virax Biolabs Group Limited
TDY,Teledyne Technologies Incorporated Common Stock
RANI,"Rani Therapeutics Holdings, Inc. 
Class A Common Stock"
CNL,Collective Mining Ltd. Common Shares
EWBC,"East West Bancorp, Inc."
JFBR,Jeffs' Brands Ltd Ordinary Shares
VMAR,Vision Marine Technologies Inc.
LQR,LQR House Inc. Common Stock
OXBR,Oxbridge Re Holdings Limited Ordinary Shares
FRSX,Foresight Autonomous Holdings Ltd. American Depositary Shares
WVVIP,"Willamette Valley Vineyards, Inc. Series A Redeemable Preferred Stock"
IPA,ImmunoPrecise Antibodies Ltd. Common Stock
HFFG,HF Foods Group Inc. Common Stock
PKG,Packaging Corporation of America Common Stock
KRON,"Kronos Bio, Inc. Common Stock"
HRI,Herc Holdings Inc. Common Stock
BCTX,BriaCell Therapeutics Corp.
WPP,WPP plc American Depositary Shares
RNST,Renasant Corporation Common Stock
ALTG,Alta Equipment Group Inc. Class A Common Stock
NVCT,"Nuvectis Pharma, Inc. Common Stock"
ADNWW,"Advent Technologies Holdings, Inc. Warrant"
AQST,"Aquestive Therapeutics, Inc."
TCRT,"Alaunos Therapeutics, Inc. Common Stock"
SKYE,"Skye Bioscience, Inc. Common Stock"
VNET,"VNET Group, Inc. American Depositary Shares"
SOL,Emeren Group Ltd
AEI,Alset Inc. Common Stock (TX)
POAI,Predictive Oncology Inc. Common Stock
IIIN,"Insteel Industries, Inc."
MSN,Emerson Radio Corporation Common Stock
XXII,"22nd Century Group, Inc. Common Stock"
STG,"Sunlands Technology Group American Depositary Shares, representing Class A ordinary shares"
LNSR,"LENSAR, Inc. Common Stock"
XOS,"Xos, Inc. Common Stock"
LIFWW,"MSP Recovery, Inc. Warrant"
SAVE,"Spirit Airlines, Inc. Common Stock"
LIFWZ,"MSP Recovery, Inc. Warrant"
IVCBW,Investcorp Europe Acquisition Corp I Warrant
ZPTA,Zapata Computing Holdings Inc. Common Stock
KFFB,Kentucky First Federal Bancorp Common Stock
SATX,SatixFy Communications Ltd. Ordinary Share
SCLXW,Scilex Holding Company Warrant
AIHS,Senmiao Technology Limited
DRCT,"Direct Digital Holdings, Inc. Class A Common Stock"
WRAP,"Wrap Technologies, Inc. Common Stock"
SW,Smurfit WestRock plc Ordinary Shares
