symbol,sector
MKTW,Media & Entertainment
PIXY,Technology
FLGC,Technology
KLXE,Technology
AMLX,Aluminum
JFBRW,Finance
CLLS,Technology
ACST,Technology
KALA,Biotechnology
SOHO,Banking
IBG, Industrials
WAI,Technology
VTVT,Technology
GOVX,Technology
ESI,Technology
AGRI,Technology
BFRIW,Telecommunications Services
ALVOW,Technology
BCTXW,Finance
BTMWW,Technology
GCMGW,Technology
JG,Finance
ROCLW,Technology
EFOI,Information Technology
FLNT,Financials
EVO,Technology
IVCPW,Technology
PIII,Technology
BLTE,Technology
RDI,Retail
DJTWW,Technology
LGVN,Information Technology
BHB,Technology
GAUZ,Real Estate
FPAY,Payment Processing
PTCT,Biotechnology
CKPT,Technology
ASYS,Semiconductors & Semiconductor Equipment
PGC,Information Technology
SPKLW,Pharmaceuticals & Biotechnology
NBHC,Financials
GLYC,Biotechnology
QETAR,Technology
ATEX,Technology
MBIO,Biotechnology
VEEAW,Technology
FUFUW,Information Technology
ALFUW,Consumer Staples
HAFC,Finance
PTIX,Consumer Discretionary
CELU,Communications Services
NTRS,Financial Services
CFFN,Finance
HOFVW,Technology
TVGNW,Technology
FLXS,Airlines/Travel Services
LUCYW,Information Technology
DQ,Finance/Investment Services
SNTG,Technology
NXPLW,Financial Servcies
PPBT,Financial Services
NVNIW,Technology
FSHPR,Financial Services and Banking
AZ,Technology
EUDAW,Technology
TISI,Industrial Supplies/Services
SBCWW,Basic Materials
NITO,IT
QRTEB,Consumer Discretionary Goods & Services
TELA,Healthcare
ZNTL,Technology
SVMH,Hospitality/Leisure
AERT,Real Estate
SRZN,Technology
PGHL,Financials
DUOT,Financial Services
CAPR,Technology
JBDI,Biotechnology
KITTW,Technology
MAMO,Technology
USNA,Technology
OWLT,Communication Services
SCNI,Technology
TVGN,Communication Services
KWESW,Technology
VRAX,Consumer Discretionary Goods & Services
TDY,Technology
RANI,Consumer Discretionary
CNL,Insurance
EWBC,Financial Services
JFBR,Financial Services
VMAR,Technology
LQR,Technology
OXBR,Technology
FRSX,Financial Services
WVVIP,Communications Equipment
IPA,Consumer Staples
HFFG,Finance
PKG,Technology
KRON,Technology
HRI,Technology
BCTX,Technology
WPP,Technology
RNST,Financial Services
ALTG,Technology
NVCT,Consumer Discretionary
ADNWW,Technology
AQST,Communication Technology
TCRT,Technology
SKYE,Technology
VNET,Technology
SOL,Energy/Solar
AEI,Technology
POAI,Information Technology
IIIN,Industrials
MSN,Technology
XXII,"""Consumer Discretionary"""
STG,Technology
LNSR,Software
XOS,Technology
LIFWW,Utilities
SAVE,Finance
