,symbol,name,last_price,change,change_percent,market_cap
0,HUBCZ,Hub Cyber Security Ltd. Warrant 8/22/2025,0.0049,0.0024,0.96,149253.0
1,CELZ,"Creative Medical Technology Holdings, Inc. Common Stock",3.8481,0.3481,0.09945999999999999,5149243.0
2,INDV,Indivior PLC Ordinary Shares,9.3698,0.8098,0.0946,1214093756.0
3,JFBRW,Jeffs' Brands Ltd Warrant,0.0301,0.0026,0.09455,276318.0
4,LTRY,"Lottery.com, Inc. Common Stock",0.4954,0.0426,0.09408,4571627.0
5,CLS,"Celestica, Inc. Common Stock",62.845,5.375,0.09353,7475549375.0
6,CXAIW,CXApp Inc. Warrant,0.2074,0.0175,0.09215,3166367.0
7,UPS,"United Parcel Service, Inc. Common Stock",143.49,12.08,0.09193,122910351966.0
8,GRRRW,Gorilla Technology Group Inc. Warrant,0.06,0.005,0.09090999999999999,666600.0
9,ALVOW,Alvotech Warrant,3.05,0.25,0.08929000000000001,920917000.0
10,BCTXW,BriaCell Therapeutics Corp. Warrant,0.3165,0.0259,0.08913,11342778.0
11,SDRL,Seadrill Limited Common Shares,38.31,3.13,0.08897000000000001,2537271300.0
12,RBBN,Ribbon Communications Inc. Common Stock,3.735,0.305,0.08892,651856836.0
13,DOGZ,Dogness (International) Corporation Class A Common Stock,51.0,4.13,0.08811999999999999,649263558.0
14,VC,Visteon Corporation Common Stock,95.12,7.51,0.08571999999999999,2625964333.0
15,YHGJ,Yunhong Green CTI Ltd. Common Stock,0.7597,0.0597,0.08529,19636868.0
16,IVCPW,Swiftmerge Acquisition Corp. Warrants,0.1,0.0078,0.08460000000000001,
17,ALAR,Alarum Technologies Ltd. American Depositary Share,16.9927,1.3127,0.08372,116739849.0
18,ASTS,"AST SpaceMobile, Inc. Class A Common Stock",28.43,2.17,0.08263999999999999,7658883673.0
19,PEGA,Pegasystems Inc. Common Stock,75.455,5.725,0.0821,6444584763.0
20,CUTR,"Cutera, Inc. Common Stock",0.7098,0.0538,0.08201,14286742.0
21,GIFT,"RDE, Inc. Common Stock",1.655,0.1251,0.08177,42884795.0
22,DOUG,Douglas Elliman Inc. Common Stock,1.72,0.13,0.08176,157952100.0
23,JNVR,Janover Inc. Common Stock,0.5501,0.0414,0.08138,6151341.0
24,BOF,BranchOut Food Inc. Common Stock,1.89,0.14,0.08,12838220.0
25,CCTG,CCSC Technology International Holdings Limited Class A Ordinary Shares,3.0803,1.3404,0.77039,35673724.0
26,LGCB,Linkage Global Inc Ordinary Shares,0.4664,0.1989,0.74355,10027600.0
